ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
B_seed2026_final_top9,COC(=O)C1C(c2ccc(O)cc2)=C2CC(C)(C)CC3N2C(CC(=O)O)C(=O)N13,B,SweetDB-seeded GA,group_b_dataset,2026,9,0.9234642386436462,2.584451198577881,6.610795021057129,3.0461833477020264,True,False,True,False,-7.867,True,False
B_seed2026_final_top10,COC(=O)C(Cc1ccc(Cl)cc1)N1C(=O)C(CC(=O)O)N2C1CC(C)(C)C2C,B,SweetDB-seeded GA,group_b_dataset,2026,10,0.9967831373214722,2.572613000869751,6.842453956604004,3.071004629135132,True,False,True,False,-8.232,True,False
B_seed2027_final_top1,COc1ccccc1N=C(CN1C(=O)CSC1=O)SCc1cc2ccc1n2N,B,SweetDB-seeded GA,group_b_dataset,2027,1,0.229287102818489,4.060472965240479,6.9294843673706055,3.718546152114868,False,True,True,False,-7.337,True,False
B_seed2027_final_top2,CC=C(C=CN(C)C)NC(=O)c1cc(BO)c2c3ccn4c1c2oc(=O)c34,B,SweetDB-seeded GA,group_b_dataset,2027,2,0.9768484830856324,3.81019139289856,6.499191284179688,4.298615455627441,True,True,True,True,,False,False
B_seed2027_final_top3,CN(c1cc2[nH]c1cc2F)C(CC(=O)O)C(=O)n1c2cc(B(O)c3c[nH]cn3)c1cc2Cl,B,SweetDB-seeded GA,group_b_dataset,2027,3,0.6659772396087646,3.5058705806732178,7.160590171813965,3.7316408157348633,False,True,True,False,,False,False
B_seed2027_final_top4,CN(C)C1=C2C=C(Cl)C(=C1)C2(CC(C)(C)C)N1CSC(=Nc2ccccc2)C1,B,SweetDB-seeded GA,group_b_dataset,2027,4,0.1353015154600143,3.3823471069335938,6.410536766052246,2.7682391166687013,False,True,True,False,-6.853,True,False
B_seed2027_final_top5,Cc1cc(Sc2ccc(C(=O)OCC(C)C)cc2)n(CC(=O)Oc2ccc(Cl)cc2Cl)c1C,B,SweetDB-seeded GA,group_b_dataset,2027,5,0.9648182988166808,3.3579843044281006,6.896540641784668,3.780393543243408,True,True,True,True,-7.517,True,True
B_seed2027_final_top6,O=C1CC(C(=O)N2C3=C=C(n4ccnc4)C(=O)C3=CC=C2C(O)C(O)C(O)CO)CN1,B,SweetDB-seeded GA,group_b_dataset,2027,6,0.4915693998336792,3.345707416534424,7.449431419372559,3.334146022796631,False,True,False,False,-9.057,True,False
B_seed2027_final_top7,CC=C(C)N1C(=O)C2SCC(=O)N(C2N2C(=O)CSC2=O)C1(CC=O)c1cccc(OC)c1,B,SweetDB-seeded GA,group_b_dataset,2027,7,0.4044519364833832,3.3276402950286865,7.155301094055176,3.213427782058716,False,True,True,False,-7.741,True,False
B_seed2027_final_top8,CC(C)=CC=CN1C23OC(=O)C14C(C)C(=O)N2C4(C)c1cc3cc(C=O)c1Cl,B,SweetDB-seeded GA,group_b_dataset,2027,8,0.9179667830467224,3.25299334526062,6.991572380065918,3.711976766586304,True,True,True,True,-9.422,True,True
B_seed2027_final_top9,COC12C(O)C(O)(N3C(=O)CSC3=O)C34NC(=O)N1N3C(=O)C(=O)N24,B,SweetDB-seeded GA,group_b_dataset,2027,9,0.9900375604629515,3.230876445770264,5.963615417480469,3.665895166397095,True,True,True,True,-8.786,True,True
B_seed2027_final_top10,CC=C(C)N1C(=O)c2nn(-c3ccccc3)c(C(=O)OC)c2S1(=O)=O,B,SweetDB-seeded GA,group_b_dataset,2027,10,0.6113545298576355,2.965627431869507,6.704503059387207,3.1203882694244385,False,True,True,False,-7.713,True,False
B_seed2028_final_top1,CC1=C2C(=O)N3C45C6CC7(OC8NC37C6C(=O)N84)C(=CC2=C2COP3(=O)COC2O3)N15,B,SweetDB-seeded GA,group_b_dataset,2028,1,0.9894932508468628,3.710266590118408,7.586612701416016,4.165009002685547,True,True,False,False,-10.994,True,False
B_seed2028_final_top2,COP(=O)(O)C=C1CN2C(=O)C3=CN1CC2(c1ccc(Cl)cc1)N3,B,SweetDB-seeded GA,group_b_dataset,2028,2,0.9967304468154908,3.555516242980957,6.712001800537109,4.053881645202637,True,True,True,True,-7.948,True,True
B_seed2028_final_top3,CC1=CC(Cl)=P(OCP(=O)(O)O)(C23CC4NC(=N2)CN4C3)OC1,B,SweetDB-seeded GA,group_b_dataset,2028,3,0.902191996574402,3.5191521644592285,7.01793909072876,3.970248222351074,True,True,True,True,-7.199,True,True
B_seed2028_final_top4,COC1(C(=O)Nc2ccc(P(=O)(O)O)cc2)C2C34NC1C(Cl)(N3C)C2(O)CO4,B,SweetDB-seeded GA,group_b_dataset,2028,4,0.9869884252548218,3.501821279525757,7.283534049987793,3.995315551757813,True,True,False,False,-7.862,True,False
B_seed2028_final_top5,O=C1N2CN3C4=C5C2=COC4=C2SC5N1C31Sc3cccc4[nH]c(=O)c(=O)n(c34)C21,B,SweetDB-seeded GA,group_b_dataset,2028,5,0.9965824484825134,3.4931869506835938,8.365644454956055,3.898076992034912,True,True,False,False,-9.679,True,False
B_seed2028_final_top6,COC(OC)C(=Nn1c(=O)n2cc1c(N(C)C)c2C)N(N)c1ccccc1,B,SweetDB-seeded GA,group_b_dataset,2028,6,0.7898765802383423,3.3510215282440186,7.484070777893066,3.7248849868774414,False,True,False,False,-7.064,True,False
B_seed2028_final_top7,CNCC1CC(=O)N2C3=NN=C(OP(=O)(O)O)C2(c2ccc(Cl)c(OC)c2)N1C3,B,SweetDB-seeded GA,group_b_dataset,2028,7,0.9989263415336608,3.3490002155303955,7.326381683349609,3.846295833587648,True,True,False,False,-8.355,True,False
B_seed2028_final_top8,O=C1C2CC3(CNC(C3)N2)N1CCC1(Cl)OCP(=O)(O)O1,B,SweetDB-seeded GA,group_b_dataset,2028,8,0.7242740988731384,3.3052589893341064,6.939890861511231,3.6068153381347656,False,True,True,False,-7.332,True,False
B_seed2028_final_top9,CCCNC(=O)C12CC3(CCNC3)OC(=O)C13OP(=O)(COC3Cl)O2,B,SweetDB-seeded GA,group_b_dataset,2028,9,0.8494310975074768,3.2408907413482666,6.603499412536621,3.6656062602996826,True,True,True,True,-7.998,True,True
