method,seed,generation,latent_pairwise_distance,latent_dim_std
D,2028,6,1.9005627909268457,0.17623306810855865
D,2028,7,1.2572452147801718,0.12040843069553375
D,2028,8,1.0828720930321463,0.09895794838666916
D,2028,9,1.1155193760134707,0.09852489084005356
D,2028,10,2.0594874551926536,0.2739357650279999
D,2028,11,4.248512282111179,0.4696212410926819
D,2028,12,5.368983406693428,0.5124185681343079
B,2029,1,10.284312681220044,0.9554544687271118
B,2029,2,9.086657901741992,0.8480144739151001
B,2029,3,7.879623404796096,0.7432417869567871
B,2029,4,6.125462565819422,0.5883229374885559
B,2029,5,3.6818744266170196,0.34224700927734375
B,2029,6,2.538645703354101,0.2364647388458252
B,2029,7,1.6359659982995056,0.1593109518289566
B,2029,8,1.264656309012709,0.11069758981466293
B,2029,9,1.3258510886252612,0.11911816149950027
B,2029,10,1.156700333319176,0.10354717820882797
B,2029,11,1.175235352810772,0.10403438657522202
B,2029,12,1.210496720123565,0.10571150481700897
B,2027,1,10.38592109132087,0.95986407995224
B,2027,2,9.483423719597958,0.8949964642524719
B,2027,3,7.612064648462438,0.7290350794792175
B,2027,4,4.595031996568044,0.46654772758483887
B,2027,5,3.482606070069061,0.3305562436580658
B,2027,6,1.9714938823519081,0.19869685173034668
B,2027,7,1.0319468212538752,0.09821503609418869
B,2027,8,0.9492697064561405,0.08668357878923416
B,2027,9,0.9650591196171169,0.08679962158203125
B,2027,10,0.9935921326108362,0.08910848200321198
B,2027,11,1.1009291359405409,0.09861283749341965
B,2027,12,1.1410688891493042,0.10095787048339844
A,2030,1,9.710602236342156,0.8975973129272461
A,2030,2,9.11541888587091,0.8520891070365906
A,2030,3,7.220975152754235,0.7056527137756348
A,2030,4,6.06003793048105,0.5853951573371887
A,2030,5,4.082110698127199,0.37255987524986267
A,2030,6,2.54470412374913,0.2323780357837677
A,2030,7,1.6009753492714345,0.1495014727115631
A,2030,8,1.191839558091657,0.11036735028028488
A,2030,9,1.1015888577905195,0.10055249184370041
A,2030,10,1.109739044342918,0.10055171698331833
A,2030,11,1.0207354350336666,0.09030256420373917
A,2030,12,1.0870216455952875,0.09626098722219467
A,2027,1,9.699002682477579,0.8968921303749084
A,2027,2,8.831850782139547,0.8295482397079468
A,2027,3,8.379190869783534,0.8064441680908203
A,2027,4,6.2896929684041565,0.6455300450325012
A,2027,5,3.73712282012934,0.3673486113548279
A,2027,6,3.7316535856531954,0.3446138799190521
A,2027,7,2.2754771809468326,0.21172676980495453
A,2027,8,1.681512842267409,0.1515021026134491
