generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve,method,seed
1,30,0.2399234771728515,1.6534148454666138,3.252324342727661,3.252324342727661,2.6407625675201416,1.1774111986160278,1.1774111986160278,2.752410888671875,2.752410888671875,2.156993865966797,0.9526357650756836,0.9998268485069276,5.288276195526123,6.173703670501709,5,0.1666666666666666,0,B,2026
2,60,0.2754924297332763,2.4642176628112797,3.346888542175293,3.346888542175293,3.1342968940734863,1.9868947267532349,1.9868947267532349,2.84691858291626,2.84691858291626,2.64005708694458,0.955548882484436,0.9999397993087769,6.157632827758789,5.647490501403809,15,0.5,0,B,2026
3,90,0.3150906562805176,3.089500904083252,3.35734224319458,3.35734224319458,3.3190033435821533,2.595319986343384,2.595319986343384,2.8575501441955566,2.8575501441955566,2.8191585540771484,0.9883614778518676,0.9995842576026917,6.396842956542969,6.066425800323486,30,1.0,0,B,2026
4,120,0.3490598201751709,3.2783021926879883,3.4570577144622803,3.4570577144622803,3.3669471740722656,2.778477430343628,2.778477430343628,2.957125663757324,2.957125663757324,2.867029905319214,0.9996491074562072,0.9998639822006226,6.038650989532471,5.824535369873047,30,1.0,0,B,2026
5,150,0.392437219619751,3.36730694770813,3.481248617172241,3.481248617172241,3.4385223388671875,2.867387056350708,2.867387056350708,2.9814276695251465,2.9814276695251465,2.938608169555664,0.9998394250869752,0.9996418952941896,5.797363758087158,6.139371395111084,30,1.0,0,B,2026
6,180,0.4371182918548584,3.443040370941162,3.527474403381348,3.527474403381348,3.498243808746338,2.943121194839477,2.943121194839477,3.027517557144165,3.027517557144165,2.9983534812927246,0.9998391270637512,0.999913454055786,5.856375694274902,5.853360652923584,30,1.0,0,B,2026
7,210,0.4751200675964355,3.491132974624634,3.6557135581970215,3.6557135581970215,3.551496982574463,2.9912326335906982,2.9912326335906982,3.1557655334472656,3.1557655334472656,3.0515639781951904,0.9998006224632264,0.9998962879180908,5.899948596954346,5.719228267669678,30,1.0,0,B,2026
8,240,0.5170893669128418,3.5154736042022705,3.6557135581970215,3.6557135581970215,3.589384078979492,3.0155720710754395,3.0155720710754395,3.1557655334472656,3.1557655334472656,3.0894601345062256,0.9998037219047546,0.9998962879180908,5.945527076721191,5.719228267669678,30,1.0,1,B,2026
9,270,0.5529677867889404,3.5685343742370605,3.773827314376831,3.773827314376831,3.663252353668213,3.068608522415161,3.068608522415161,3.273872137069702,3.273872137069702,3.1633358001708984,0.9998517632484436,0.9999103546142578,5.914100170135498,5.690079212188721,30,1.0,0,B,2026
10,300,0.5963711738586426,3.633127927780152,3.773827314376831,3.773827314376831,3.7134056091308594,3.133206844329834,3.133206844329834,3.273872137069702,3.273872137069702,3.2134971618652344,0.9998405575752258,0.9999103546142578,5.954051017761231,5.690079212188721,30,1.0,1,B,2026
11,330,0.639617919921875,3.681217432022095,3.777677536010742,3.777677536010742,3.746726274490357,3.1812996864318848,3.1812996864318848,3.2777528762817383,3.2777528762817383,3.2468085289001465,0.9998356103897096,0.9998495578765868,5.983781814575195,5.985970973968506,30,1.0,0,B,2026
12,360,0.6774344444274902,3.72053599357605,3.817357063293457,3.817357063293457,3.782218217849731,3.220625400543213,3.220625400543213,3.3174147605896,3.3174147605896,3.2822861671447754,0.9998208284378052,0.9998846054077148,5.9651288986206055,5.721038818359375,30,1.0,0,B,2026
1,30,0.2323777675628662,1.960246205329895,3.5673108100891118,3.5673108100891118,2.990241289138794,1.4897196292877195,1.4897196292877195,3.068976879119873,3.068976879119873,2.504457235336304,0.953988254070282,0.9966678023338318,5.540180683135986,6.235888957977295,11,0.3666666666666666,0,B,2027
2,60,0.2746837139129638,2.757176399230957,3.575930118560791,3.575930118560791,3.2897820472717285,2.3547370433807373,2.3547370433807373,3.077690839767456,3.077690839767456,2.8242180347442627,0.8667379021644592,0.9964786171913148,5.871498107910156,6.242698192596436,20,0.6666666666666666,0,B,2027
3,90,0.3098645210266113,3.347712993621826,4.039862632751465,4.039862632751465,3.688896656036377,2.8837039470672607,2.882293462753296,3.54231071472168,3.54231071472168,3.1906332969665527,0.928019404411316,0.995103359222412,5.885194301605225,5.612525463104248,30,1.0,0,B,2027
4,120,0.3518126010894775,3.612109661102295,4.040610313415527,4.040610313415527,3.811355590820313,3.127795457839966,3.1248512268066406,3.542715311050415,3.542715311050415,3.3134219646453857,0.9686292409896852,0.9957901835441588,6.063931465148926,5.614019393920898,30,1.0,0,B,2027
5,150,0.3851296901702881,3.7982852458953857,4.152639865875244,4.152639865875244,4.0327911376953125,3.3003199100494385,3.2864832878112797,3.654175996780396,3.654175996780396,3.534954786300659,0.9959298372268676,0.9969281554222108,6.057682991027832,6.095941066741943,30,1.0,0,B,2027
6,180,0.4251620769500732,4.011719226837158,4.203064918518066,4.203064918518066,4.129727363586426,3.5133862495422363,3.456726312637329,3.704290628433228,3.704290628433228,3.6309800148010254,0.9966655969619752,0.9975486397743224,5.9168195724487305,6.114619255065918,30,1.0,0,B,2027
7,210,0.4635343551635742,4.12755823135376,4.275116920471191,4.275116920471191,4.186969757080078,3.6289122104644775,3.5,3.776463747024536,3.776463747024536,3.6884608268737793,0.9972930550575256,0.9973068237304688,5.985419750213623,6.099474906921387,30,1.0,0,B,2027
8,240,0.5089874267578125,4.167044639587402,4.278621673583984,4.278621673583984,4.2345404624938965,3.668482780456543,3.5,3.780050277709961,3.780050277709961,3.7361690998077393,0.9971237182617188,0.9971428513526917,6.0591559410095215,6.084122657775879,30,1.0,0,B,2027
