method,seed,generation,hard_pass,n,topk_logsw,topk_p_sweet,best_logsw,mean_ood
D,2026,6,3,3,3.1709269682566323,0.9999684890111288,3.2112679481506348,4.995490709940593
D,2026,7,5,5,3.2187201023101806,0.9932955026626586,3.230647087097168,5.281165027618409
D,2026,8,5,5,3.3420642375946046,0.97210533618927,3.407914161682129,5.962472915649414
D,2026,9,5,5,3.4507796287536623,0.9932620406150818,3.530211925506592,5.643527317047119
D,2026,10,5,5,3.5121642112731934,0.9998948812484741,3.5457422733306885,5.428570079803467
D,2026,11,5,5,3.5554643630981446,0.9999558210372925,3.5712544918060303,5.360817241668701
D,2026,12,5,5,3.5836161613464355,0.9999524831771851,3.5917210578918457,5.409207725524903
D,2027,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
D,2027,2,5,5,2.812798547744751,0.9998129963874817,2.9770212173461914,5.724231624603272
D,2027,3,3,3,2.9971672693888345,0.9999693632125854,3.14565372467041,5.241764386494954
D,2027,4,5,5,3.119351100921631,0.9847316980361939,3.175495386123657,5.23582706451416
D,2027,5,5,5,3.2067438125610352,0.9722584128379822,3.278589963912964,5.480073261260986
D,2027,6,5,5,3.2416001319885255,0.9828255772590637,3.278589963912964,5.24416561126709
D,2027,7,4,4,3.297981023788452,0.9988126009702682,3.3415234088897705,5.198787689208984
D,2027,8,5,5,3.415762758255005,0.9996209740638733,3.45262098312378,5.2802321434021
D,2027,9,5,5,3.4843669891357423,0.999509334564209,3.533953189849853,5.368565273284912
D,2027,10,5,5,3.5262094020843504,0.9996219754219056,3.546295404434204,5.381285285949707
D,2027,11,5,5,3.5568118572235106,0.99982191324234,3.5834527015686035,5.40442008972168
D,2027,12,5,5,3.57915940284729,0.9997458577156066,3.606601476669312,5.489724636077881
D,2028,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
D,2028,2,4,4,2.8990710973739624,0.9999332427978516,2.9961600303649902,4.679686546325684
D,2028,3,4,4,3.0191338658332825,0.9999618232250214,3.060793161392212,4.9634339809417725
D,2028,4,5,5,3.097964286804199,0.9849927186965942,3.1172921657562256,5.092994022369385
D,2028,5,5,5,3.1299975395202635,0.9999753952026367,3.1431915760040283,4.849746513366699
D,2028,6,5,5,3.144701910018921,0.9999771356582642,3.1708972454071045,4.838993644714355
D,2028,7,5,5,3.219407320022583,0.9933365225791931,3.389257431030273,5.074770164489746
D,2028,8,5,5,3.333912467956543,0.969221007823944,3.4398889541625977,5.7008363723754885
D,2028,9,5,5,3.414024066925049,0.9518105387687683,3.448275089263916,5.7208226203918455
D,2028,10,5,5,3.473509645462036,0.9514442324638367,3.4980039596557617,5.837120056152344
D,2028,11,5,5,3.5082016468048094,0.979500126838684,3.541853189468384,5.8721822738647464
D,2028,12,5,5,3.569302272796631,0.9904165267944336,3.6328139305114746,5.732257461547851
D,2029,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
D,2029,2,5,5,2.775310182571411,0.9996316313743592,2.914358377456665,6.316853809356689
D,2029,3,3,3,2.874155362447103,0.999875565369924,2.914358377456665,5.462595462799072
D,2029,4,4,4,2.9987793564796448,0.966391533613205,3.053951501846313,5.48588752746582
D,2029,5,3,3,3.1131484508514404,0.9999742905298868,3.1731135845184326,5.141817728678386
D,2029,6,5,5,3.1362123012542726,0.9999706745147705,3.248765468597412,5.21271448135376
D,2029,7,5,5,3.2481534481048584,0.9933575630187989,3.379262924194336,5.478924083709717
D,2029,8,5,5,3.376949167251587,0.9777379989624023,3.4437577724456787,5.836654567718506
