generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve,method,seed
5,150,0.6470510959625244,3.2706427574157715,3.388688325881958,3.388688325881958,3.336981296539306,2.7706875801086426,2.7706875801086426,2.888698101043701,2.888698101043701,2.8369901180267334,0.9999112486839294,0.9999804496765136,5.257753372192383,5.235037803649902,7.751638889312744,7.819512844085693,3.2706427574157715,3.388688325881958,30,1.0,0,Gate + sweet predictor,2029
6,180,0.7351140975952148,3.329061269760132,3.4062092304229736,3.4062092304229736,3.375055313110352,2.8290698528289795,2.8290698528289795,2.906219005584717,2.906219005584717,2.875063896179199,0.9999828338623048,0.9999805688858032,5.200031757354736,5.186083793640137,7.79080057144165,7.849807739257812,3.329061269760132,3.4062092304229736,30,1.0,0,Gate + sweet predictor,2029
7,210,0.8152666091918945,3.364574670791626,3.440110206604004,3.440110206604004,3.404661178588867,2.864584445953369,2.864584445953369,2.9401209354400635,2.9401209354400635,2.904670238494873,0.9999817609786988,0.9999784231185912,5.198441982269287,5.2765727043151855,7.841799736022949,7.8681960105896,3.364574670791626,3.440110206604004,30,1.0,0,Gate + sweet predictor,2029
8,240,0.9056568145751952,3.4065070152282715,3.464299201965332,3.464299201965332,3.4474873542785645,2.9065165519714355,2.9065165519714355,2.96430778503418,2.96430778503418,2.947498321533203,0.9999812245368958,0.9999828338623048,5.1397318840026855,4.899372100830078,7.844732284545898,7.894569396972656,3.4065070152282715,3.464299201965332,30,1.0,0,Gate + sweet predictor,2029
9,270,0.980848789215088,3.436579704284668,3.5119729042053223,3.5119729042053223,3.472520351409912,2.9365897178649902,2.9365897178649902,3.011983156204224,3.011983156204224,2.9725308418273926,0.9999802112579346,0.9999792575836182,5.145317554473877,5.1855974197387695,7.866054058074951,7.882193088531494,3.436579704284668,3.5119729042053223,30,1.0,0,Gate + sweet predictor,2029
10,300,1.0619838237762451,3.4763128757476807,3.540690898895264,3.540690898895264,3.51463270187378,2.97632360458374,2.97632360458374,3.040700674057007,3.040700674057007,3.0146427154541016,0.999978244304657,0.999980330467224,5.136681079864502,5.117570400238037,7.8651533126831055,7.847250461578369,3.4763128757476807,3.540690898895264,30,1.0,0,Gate + sweet predictor,2029
11,330,1.1445233821868896,3.513262987136841,3.5732204914093018,3.5732204914093018,3.5473904609680176,3.0132734775543213,3.0132734775543213,3.0732362270355225,3.0732362270355225,3.047400951385498,0.9999789595603944,0.9999685287475586,5.132613182067871,5.204861640930176,7.871384620666504,7.80817174911499,3.513262987136841,3.5732204914093018,30,1.0,0,Gate + sweet predictor,2029
12,360,1.2303004264831543,3.5397446155548096,3.62139892578125,3.62139892578125,3.576625108718872,3.0397543907165527,3.0397543907165527,3.1214160919189453,3.1214160919189453,3.076635837554932,0.9999797940254213,0.9999656677246094,5.083150386810303,5.212703704833984,7.889444828033447,7.826056003570557,3.5397446155548096,3.62139892578125,30,1.0,0,Gate + sweet predictor,2029
1,30,0.3049514293670654,2.232407808303833,3.265838861465454,3.265838861465454,2.8679778575897217,1.884840488433838,1.884840488433838,2.765846967697144,2.765846967697144,2.404982566833496,0.8013490438461304,0.9999837875366212,5.248063087463379,5.298385143280029,7.623751640319824,7.660553932189941,2.232407808303833,3.265838861465454,11,0.3666666666666666,0,Gate + sweet predictor,2030
2,60,0.3907299041748047,2.905725717544556,3.2867770195007324,3.2867770195007324,3.20133900642395,2.4358444213867188,2.4358444213867188,2.78678560256958,2.78678560256958,2.701367855072021,0.9425952434539796,0.9999827146530152,5.49674654006958,5.299311637878418,8.405858993530273,7.5702619552612305,2.905725717544556,3.2867770195007324,24,0.8,0,Gate + sweet predictor,2030
